product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier,weight_kg
PROD_00126,Professional Fictio,Books,Fiction,408.6,277.9,369.0,"Alexander, Cobb and Garcia",3.2
PROD_00127,Throw Fictio,Books,Fiction,383.93,210.96,263.0,Chang-Riley,4.72
PROD_00129,Itself Non-Fictio,Books,Non-Fiction,257.67,177.79,110.0,"Morgan, Durham and Pope",5.88
PROD_00131,Back Non-Fictio,Books,Non-Fiction,330.59,178.91,274.0,Nolan-Vasquez,0.18
PROD_00132,Election Non-Fictio,Books,Non-Fiction,62.67,27.59,135.0,Peterson-Norris,7.3
PROD_00133,Give Non-Fictio,Books,Non-Fiction,384.29,195.9,205.0,Lyons-Carroll,0.61
PROD_00134,Phone Non-Fictio,Books,Non-Fiction,285.29,145.14,147.0,Juarez and Sons,0.83
PROD_00135,Nearly Non-Fictio,Books,Non-Fiction,257.09,161.79,143.0,Johnson-Beard,8.27
PROD_00136,Organization Non-Fictio,Books,Non-Fiction,315.39,183.97,65.0,Reeves-Parker,9.75
PROD_00137,Sense Educationa,Books,Educational,203.01,129.62,173.0,Bradley LLC,5.62
PROD_00139,Run Educationa,Books,Educational,255.04,105.48,70.0,Thomas LLC,7.16
PROD_00140,Town Educationa,Books,Educational,403.94,224.51,76.0,Scott-Perez,6.1
PROD_00141,Today Educationa,Books,Educational,262.6,130.88,313.0,Aguilar and Sons,3.25
PROD_00143,Movie Educationa,Books,Educational,174.82,113.37,272.0,"Berg, Black and Woods",4.95
PROD_00146,Tree Comic,Books,Comics,450.4,298.0,322.0,Wong-Harrell,0.36
PROD_00147,Meet Comic,Books,Comics,242.55,167.39,,Webb Group,9.72
PROD_00148,Address Comic,Books,Comics,293.45,137.41,26.0,"Arroyo, Peterson and Parker",5.88
PROD_00149,Door Comic,Books,Comics,93.55,55.07,317.0,Ramirez Ltd,7.77
PROD_00150,Strategy Comic,Books,Comics,196.29,126.9,124.0,Santos LLC,0.41
PROD_00151,Moment Comic,Books,Comics,474.62,205.5,9.0,Hudson-Fowler,4.47
PROD_00152,Actually Comic,Books,Comics,215.2,112.74,104.0,"Singleton, Logan and Warren",4.16
PROD_00156,Likely Magazine,Books,Magazines,478.78,257.54,272.0,"Mills, Sanchez and Robles",3.49
PROD_00157,Cover Magazine,Books,Magazines,183.6,115.96,,"Mayer, Mathews and Perez",6.84
PROD_00158,Series Magazine,Books,Magazines,403.79,193.54,247.0,Thompson-Krause,2.0
PROD_00159,Exactly Magazine,Books,Magazines,130.79,74.21,115.0,"Ramirez, Paul and Quinn",9.42
PROD_00160,Whose Magazine,Books,Magazines,491.31,310.19,360.0,Escobar and Sons,2.15
PROD_00161,Necessary Equipmen,Sports,Equipment,355.44,175.98,178.0,Brown-Perez,5.65
PROD_00162,Pay Equipmen,Sports,Equipment,467.9,288.46,147.0,"Woods, Garcia and Keith",1.31
PROD_00163,Approach Equipmen,Sports,Equipment,341.54,175.52,202.0,Tyler-Jones,8.2
PROD_00164,Mean Equipmen,Sports,Equipment,477.76,306.43,148.0,Ramos Group,0.52
PROD_00167,Law Equipmen,Sports,Equipment,142.86,81.23,139.0,Cortez Group,1.46
PROD_00168,Star Equipmen,Sports,Equipment,311.68,179.54,124.0,"Lee, Shaffer and Mendez",0.6
PROD_00170,Plant Appare,Sports,Apparel,212.52,130.74,51.0,Vasquez-Thompson,6.84
PROD_00171,Movement Appare,Sports,Apparel,77.36,53.33,500.0,Palmer-Bean,9.3
PROD_00172,Firm Appare,Sports,Apparel,209.38,142.49,449.0,Camacho-Wright,4.81
PROD_00175,Walk Appare,Sports,Apparel,123.79,76.95,435.0,"Ruiz, Martin and Jones",9.37
PROD_00176,Lay Appare,Sports,Apparel,457.48,207.02,451.0,"Torres, Schaefer and Ramos",8.39
PROD_00177,Pull Footwea,Sports,Footwear,467.62,192.15,428.0,"Ryan, White and Maxwell",4.03
PROD_00178,Source Footwea,Sports,Footwear,252.74,172.11,492.0,Lewis PLC,8.74
PROD_00181,Remember Footwea,Sports,Footwear,324.24,180.7,455.0,Morris and Sons,9.39
PROD_00182,Space Footwea,Sports,Footwear,427.02,230.76,98.0,Floyd-Phelps,8.11
PROD_00183,Poor Footwea,Sports,Footwear,172.04,106.55,331.0,"Moore, Frye and Zavala",2.65
PROD_00185,Worker Outdoo,Sports,Outdoor,340.46,155.91,312.0,Kennedy-Chase,8.58
PROD_00191,Detail Outdoo,Sports,Outdoor,40.44,17.61,157.0,"Moran, Phillips and Brooks",1.68
PROD_00192,Fund Outdoo,Sports,Outdoor,346.18,234.34,454.0,Gibbs-Nguyen,7.07
PROD_00193,Opportunity Fitnes,Sports,Fitness,162.38,70.67,469.0,"Gonzalez, Lewis and Shaw",9.41
PROD_00195,Gas Fitnes,Sports,Fitness,85.06,53.1,310.0,"Castillo, Griffith and Harrison",3.8
PROD_00197,Rise Fitnes,Sports,Fitness,335.41,156.14,126.0,"Tucker, Ramirez and Lawson",6.84
PROD_00198,How Fitnes,Sports,Fitness,301.95,192.1,269.0,Garcia Ltd,4.52
PROD_00199,Guess Fitnes,Sports,Fitness,354.85,150.25,288.0,Medina-Kim,1.21
